Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Padre Leonel Franca;Vila Prudente;3;2;Casa;R$ 3.220;3857;Rua Padre Leonel Franca, São Paulo, Brasil;185;Vila Prudente, Rua Padre Leonel Franca;Vila Prudente, Rua Padre Leonel Franca, São Paulo, Brasil
Avenida Monte Celeste;Vila Santa Maria;3;2;Casa;R$ 3.200;3732;Avenida Monte Celeste, São Paulo, Brasil;216;Vila Santa Maria, Avenida Monte Celeste;Vila Santa Maria, Avenida Monte Celeste, São Paulo, Brasil
Rua Maria Pais de Barros;Vila Marari;3;2;Casa;R$ 3.200;3669;Rua Maria Pais de Barros, São Paulo, Brasil;230;Vila Marari, Rua Maria Pais de Barros;Vila Marari, Rua Maria Pais de Barros, São Paulo, Brasil
Rua Marcelo de Menezes;Carandiru;3;2;Casa;R$ 3.200;3610;Rua Marcelo de Menezes, São Paulo, Brasil;250;Carandiru, Rua Marcelo de Menezes;Carandiru, Rua Marcelo de Menezes, São Paulo, Brasil
Rua Paulo Izzo;Jardim Alzira;3;2;Casa;R$ 3.200;3562;Rua Paulo Izzo, São Paulo, Brasil;95;Jardim Alzira, Rua Paulo Izzo;Jardim Alzira, Rua Paulo Izzo, São Paulo, Brasil
Rua Maestro João de Souza Lima;Jardim Líbano;3;2;Casa;R$ 3.200;3543;Rua Maestro João de Souza Lima, São Paulo, Brasil;135;Jardim Líbano, Rua Maestro João de Souza Lima;Jardim Líbano, Rua Maestro João de Souza Lima, São Paulo, Brasil
Rua Izidro Ortiz;Jardim Guanca;3;2;Casa;R$ 3.200;3445;Rua Izidro Ortiz, São Paulo, Brasil;120;Jardim Guanca, Rua Izidro Ortiz;Jardim Guanca, Rua Izidro Ortiz, São Paulo, Brasil
Rua Renato Rinaldi;Vila Carrão;3;2;Casa;R$ 3.200;3436;Rua Renato Rinaldi, São Paulo, Brasil;130;Vila Carrão, Rua Renato Rinaldi;Vila Carrão, Rua Renato Rinaldi, São Paulo, Brasil
Rua José Conhago Pomare;Vila Guaca;3;2;Casa;R$ 3.200;3405;Rua José Conhago Pomare, São Paulo, Brasil;127;Vila Guaca, Rua José Conhago Pomare;Vila Guaca, Rua José Conhago Pomare, São Paulo, Brasil
Rua Edmundo de Amicis;Morumbi;3;2;Casa;R$ 3.200;3351;Rua Edmundo de Amicis, São Paulo, Brasil;0;Morumbi, Rua Edmundo de Amicis;Morumbi, Rua Edmundo de Amicis, São Paulo, Brasil
Travessa Ferdinando Vaders;Vila Campo Grande;3;2;Casa;R$ 3.200;3335;Travessa Ferdinando Vaders, São Paulo, Brasil;140;Vila Campo Grande, Travessa Ferdinando Vaders;Vila Campo Grande, Travessa Ferdinando Vaders, São Paulo, Brasil
Rua Alesso Baldovinetti;Casa Verde Alta;3;2;Casa;R$ 3.200;3335;Rua Alesso Baldovinetti, São Paulo, Brasil;170;Casa Verde Alta, Rua Alesso Baldovinetti;Casa Verde Alta, Rua Alesso Baldovinetti, São Paulo, Brasil
